timestamp, temperature_gpu, power_draw_w, power_limit_w, memory_used_mib, memory_free_mib
1641487020435823660, 37, 107, 350, 297, 25149
1641487020437541880, 37, 107, 350, 297, 25149
1641487020439322769, 37, 107, 350, 297, 25149
1641487020441098624, 37, 107, 350, 297, 25149
1641487020442816392, 37, 107, 350, 297, 25149
1641487020444543455, 37, 107, 350, 297, 25149
1641487020446323698, 37, 107, 350, 297, 25149
1641487020448087972, 37, 107, 350, 297, 25149
1641487020449814578, 37, 107, 350, 297, 25149
1641487020451401621, 37, 107, 350, 297, 25149
1641487020453163438, 37, 107, 350, 297, 25149
1641487020454890731, 37, 107, 350, 297, 25149
1641487020456605966, 37, 107, 350, 297, 25149
1641487020458361182, 37, 107, 350, 297, 25149
1641487020460122263, 37, 107, 350, 297, 25149
1641487020461800148, 37, 107, 350, 297, 25149
1641487020463548861, 37, 108, 350, 297, 25149
1641487020465330537, 37, 108, 350, 297, 25149
1641487020467089244, 37, 108, 350, 297, 25149
1641487020468815940, 37, 108, 350, 297, 25149
1641487020470568770, 37, 108, 350, 297, 25149
1641487020472386347, 37, 108, 350, 297, 25149
1641487020474148134, 37, 108, 350, 297, 25149
1641487020475874411, 37, 108, 350, 297, 25149
1641487020477590580, 37, 108, 350, 297, 25149
1641487020479339038, 37, 108, 350, 297, 25149
1641487020481109673, 37, 108, 350, 297, 25149
1641487020482836504, 37, 108, 350, 297, 25149
1641487020484423002, 37, 108, 350, 297, 25149
1641487020486185225, 37, 108, 350, 297, 25149
1641487020487913324, 37, 108, 350, 297, 25149
1641487020489580212, 37, 108, 350, 297, 25149
1641487020491372553, 37, 108, 350, 297, 25149
1641487020493133962, 37, 108, 350, 297, 25149
1641487020494810554, 37, 108, 350, 297, 25149
1641487020496553934, 37, 108, 350, 297, 25149
1641487020498349271, 37, 108, 350, 297, 25149
1641487020500118315, 37, 108, 350, 297, 25149
1641487020501793036, 37, 108, 350, 297, 25149
1641487020503536969, 37, 108, 350, 297, 25149
1641487020505332753, 37, 108, 350, 297, 25149
1641487020507102377, 37, 108, 350, 297, 25149
1641487020508830496, 37, 108, 350, 297, 25149
1641487020510552741, 37, 108, 350, 297, 25149
1641487020512300171, 37, 108, 350, 297, 25149
1641487020514070058, 37, 108, 350, 297, 25149
1641487020515797717, 37, 108, 350, 297, 25149
1641487020517542924, 37, 108, 350, 297, 25149
1641487020519314814, 37, 108, 350, 297, 25149
1641487020521087221, 37, 108, 350, 297, 25149
1641487020522815353, 37, 108, 350, 297, 25149
1641487020524567336, 37, 108, 350, 297, 25149
1641487020526405281, 37, 108, 350, 297, 25149
1641487020528166478, 37, 108, 350, 297, 25149
1641487020529893091, 37, 108, 350, 297, 25149
1641487020531609103, 37, 108, 350, 297, 25149
1641487020533400913, 37, 108, 350, 297, 25149
1641487020535163530, 37, 108, 350, 297, 25149
1641487020536892703, 37, 108, 350, 297, 25149
1641487020538610979, 37, 108, 350, 297, 25149
1641487020540356831, 37, 108, 350, 297, 25149
1641487020542122135, 37, 108, 350, 297, 25149
1641487020543850671, 37, 108, 350, 297, 25149
1641487020545515982, 37, 108, 350, 297, 25149
1641487020547261759, 37, 108, 350, 297, 25149
1641487020549032586, 37, 108, 350, 297, 25149
1641487020550759484, 37, 108, 350, 297, 25149
1641487020552487360, 37, 108, 350, 297, 25149
1641487020554261991, 37, 108, 350, 297, 25149
1641487020556031571, 37, 108, 350, 297, 25149
1641487020557750893, 37, 108, 350, 297, 25149
1641487020559492293, 37, 108, 350, 297, 25149
1641487020561318261, 37, 108, 350, 297, 25149
1641487020563088638, 37, 108, 350, 297, 25149
1641487020564768786, 37, 108, 350, 297, 25149
1641487020566521743, 37, 108, 350, 297, 25149
1641487020568305087, 37, 108, 350, 297, 25149
1641487020569999412, 37, 108, 350, 297, 25149
1641487020571669723, 37, 108, 350, 297, 25149
1641487020573424592, 37, 108, 350, 297, 25149
1641487020575185899, 37, 108, 350, 297, 25149
1641487020576914246, 37, 108, 350, 297, 25149
1641487020578631741, 37, 108, 350, 297, 25149
1641487020580363861, 37, 108, 350, 297, 25149
1641487020582128050, 37, 108, 350, 297, 25149
1641487020583857563, 37, 108, 350, 297, 25149
1641487020585507591, 37, 108, 350, 297, 25149
1641487020587258390, 37, 108, 350, 297, 25149
1641487020589029127, 37, 108, 350, 297, 25149
1641487020590759026, 37, 108, 350, 297, 25149
1641487020592505992, 37, 108, 350, 297, 25149
1641487020594293650, 37, 108, 350, 297, 25149
1641487020596065974, 37, 108, 350, 297, 25149
1641487020597794920, 37, 108, 350, 297, 25149
1641487020599562789, 37, 108, 350, 297, 25149
1641487020601399884, 37, 108, 350, 297, 25149
1641487020603120804, 37, 108, 350, 297, 25149
1641487020604850267, 37, 108, 350, 297, 25149
1641487020606523058, 37, 108, 350, 297, 25149
1641487020608279794, 37, 108, 350, 297, 25149
1641487020610051984, 37, 108, 350, 297, 25149
1641487020611730153, 37, 108, 350, 297, 25149
1641487020613473785, 37, 108, 350, 297, 25149
1641487020615307840, 37, 108, 350, 297, 25149
1641487020616987232, 37, 108, 350, 297, 25149
1641487020618664454, 37, 108, 350, 297, 25149
1641487020620422581, 37, 108, 350, 297, 25149
1641487020622143633, 37, 108, 350, 297, 25149
1641487020623872459, 37, 108, 350, 297, 25149
1641487020625540787, 37, 108, 350, 297, 25149
1641487020627288463, 37, 108, 350, 297, 25149
1641487020629051143, 37, 108, 350, 297, 25149
1641487020630779409, 37, 108, 350, 297, 25149
1641487020632372166, 37, 108, 350, 297, 25149
1641487020634134643, 37, 108, 350, 297, 25149
1641487020635811034, 37, 108, 350, 297, 25149
1641487020637542043, 37, 108, 350, 297, 25149
1641487020639331797, 37, 108, 350, 297, 25149
1641487020641070676, 37, 108, 350, 297, 25149
1641487020642791679, 37, 108, 350, 297, 25149
1641487020644529101, 37, 108, 350, 297, 25149
1641487020646318166, 37, 108, 350, 297, 25149
1641487020648078113, 37, 108, 350, 297, 25149
1641487020649930188, 37, 108, 350, 297, 25149
1641487020651649590, 37, 108, 350, 297, 25149
1641487020653432380, 37, 108, 350, 297, 25149
1641487020655194054, 37, 108, 350, 297, 25149
1641487020656921496, 37, 108, 350, 297, 25149
1641487020658586530, 37, 108, 350, 297, 25149
1641487020660344507, 37, 108, 350, 297, 25149
1641487020662116604, 37, 108, 350, 297, 25149
1641487020663845417, 37, 108, 350, 297, 25149
1641487020665561412, 37, 108, 350, 297, 25149
1641487020667353199, 37, 108, 350, 297, 25149
1641487020669123327, 37, 108, 350, 297, 25149
1641487020670851296, 37, 108, 350, 297, 25149
1641487020672568262, 37, 108, 350, 297, 25149
1641487020674359225, 37, 108, 350, 297, 25149
1641487020676122222, 37, 108, 350, 297, 25149
1641487020677796813, 37, 108, 350, 297, 25149
1641487020679540950, 37, 108, 350, 297, 25149
1641487020681373035, 37, 108, 350, 297, 25149
1641487020683136331, 37, 108, 350, 297, 25149
1641487020684814037, 37, 108, 350, 297, 25149
1641487020686560503, 37, 108, 350, 297, 25149
1641487020688379880, 37, 108, 350, 297, 25149
1641487020690143571, 37, 108, 350, 297, 25149
1641487020691871960, 37, 108, 350, 297, 25149
1641487020693540247, 37, 108, 350, 297, 25149
1641487020695294411, 37, 108, 350, 297, 25149
1641487020697067315, 37, 108, 350, 297, 25149
1641487020698748163, 37, 108, 350, 297, 25149
1641487020700495749, 37, 108, 350, 297, 25149
1641487020702326747, 37, 108, 350, 297, 25149
1641487020704099264, 37, 108, 350, 297, 25149
1641487020705827144, 37, 108, 350, 297, 25149
1641487020707500111, 37, 108, 350, 297, 25149
1641487020709294216, 37, 108, 350, 297, 25149
1641487020711065676, 37, 108, 350, 297, 25149
1641487020712796979, 37, 108, 350, 297, 25149
1641487020714548141, 37, 108, 350, 297, 25149
1641487020716378126, 37, 108, 350, 297, 25149
1641487020718142469, 37, 108, 350, 297, 25149
1641487020719872219, 37, 108, 350, 297, 25149
1641487020721530963, 37, 108, 350, 297, 25149
1641487020723277030, 37, 108, 350, 297, 25149
1641487020725007633, 37, 108, 350, 297, 25149
1641487020726735848, 37, 108, 350, 297, 25149
1641487020728472678, 37, 108, 350, 297, 25149
1641487020730305992, 37, 108, 350, 297, 25149
1641487020732078852, 37, 108, 350, 297, 25149
1641487020733810245, 37, 108, 350, 297, 25149
1641487020735392425, 37, 108, 350, 297, 25149
1641487020737156668, 37, 108, 350, 297, 25149
1641487020738890264, 37, 108, 350, 297, 25149
1641487020740609183, 37, 108, 350, 297, 25149
1641487020742357637, 37, 108, 350, 297, 25149
1641487020744121440, 37, 108, 350, 297, 25149
1641487020745801061, 37, 108, 350, 297, 25149
1641487020747531341, 37, 108, 350, 297, 25149
1641487020749300121, 37, 108, 350, 297, 25149
1641487020751078948, 37, 108, 350, 297, 25149
1641487020752809221, 37, 108, 350, 297, 25149
1641487020754556480, 37, 108, 350, 297, 25149
1641487020756372515, 37, 108, 350, 297, 25149
1641487020758137352, 37, 108, 350, 297, 25149
1641487020759865901, 37, 108, 350, 297, 25149
1641487020761582794, 37, 108, 350, 297, 25149
1641487020763374617, 37, 108, 350, 297, 25149
1641487020765146394, 37, 108, 350, 297, 25149
1641487020766876244, 37, 108, 350, 297, 25149
1641487020768524461, 37, 108, 350, 297, 25149
1641487020770307318, 37, 108, 350, 297, 25149
1641487020772080052, 37, 108, 350, 297, 25149
1641487020773768806, 37, 108, 350, 297, 25149
1641487020775518843, 37, 108, 350, 297, 25149
1641487020777294793, 37, 108, 350, 297, 25149
1641487020779006725, 37, 108, 350, 297, 25149
1641487020780687597, 37, 108, 350, 297, 25149
1641487020782452277, 37, 108, 350, 297, 25149
1641487020784203293, 37, 108, 350, 297, 25149
1641487020785881375, 37, 108, 350, 297, 25149
1641487020787555554, 37, 108, 350, 297, 25149
1641487020789294123, 37, 108, 350, 297, 25149
1641487020791067070, 37, 108, 350, 297, 25149
1641487020792749305, 37, 108, 350, 297, 25149
1641487020794504494, 37, 108, 350, 297, 25149
1641487020796298908, 37, 108, 350, 297, 25149
1641487020798029401, 37, 108, 350, 297, 25149
1641487020799758348, 37, 108, 350, 297, 25149
1641487020801530335, 37, 108, 350, 297, 25149
1641487020803361918, 37, 108, 350, 297, 25149
1641487020805127453, 37, 108, 350, 297, 25149
1641487020806856531, 37, 108, 350, 297, 25149
1641487020808535124, 37, 108, 350, 297, 25149
1641487020810320940, 37, 108, 350, 297, 25149
1641487020812050027, 37, 108, 350, 297, 25149
1641487020813779442, 37, 108, 350, 297, 25149
1641487020815539969, 37, 108, 350, 297, 25149
1641487020817350213, 37, 108, 350, 297, 25149
1641487020819122743, 37, 108, 350, 297, 25149
1641487020820808299, 37, 108, 350, 297, 25149
1641487020822562748, 37, 108, 350, 297, 25149
1641487020824395859, 37, 108, 350, 297, 25149
1641487020826160266, 37, 108, 350, 297, 25149
1641487020827892669, 37, 108, 350, 297, 25149
1641487020829568344, 37, 108, 350, 297, 25149
1641487020831329038, 37, 108, 350, 297, 25149
1641487020833100327, 37, 108, 350, 297, 25149
1641487020834832300, 37, 108, 350, 297, 25149
1641487020836566956, 37, 108, 350, 297, 25149
1641487020838397021, 37, 108, 350, 297, 25149
1641487020840161858, 37, 108, 350, 297, 25149
1641487020841889924, 37, 108, 350, 297, 25149
1641487020843607143, 37, 108, 350, 297, 25149
1641487020845357296, 37, 108, 350, 297, 25149
1641487020847120816, 37, 108, 350, 297, 25149
1641487020848850442, 37, 108, 350, 297, 25149
1641487020850528464, 37, 108, 350, 297, 25149
1641487020852320001, 37, 108, 350, 297, 25149
1641487020854092551, 37, 108, 350, 297, 25149
1641487020855773016, 37, 108, 350, 297, 25149
1641487020857505148, 37, 108, 350, 297, 25149
1641487020859344876, 37, 108, 350, 297, 25149
1641487020861116607, 37, 108, 350, 297, 25149
1641487020862846043, 37, 108, 350, 297, 25149
1641487020864513104, 37, 108, 350, 297, 25149
1641487020866274491, 37, 108, 350, 297, 25149
1641487020868047581, 37, 108, 350, 297, 25149
1641487020869777133, 37, 108, 350, 297, 25149
1641487020871536571, 37, 108, 350, 297, 25149
1641487020873349778, 37, 108, 350, 297, 25149
1641487020875080250, 37, 108, 350, 297, 25149
1641487020876808264, 37, 108, 350, 297, 25149
1641487020878537379, 37, 108, 350, 297, 25149
1641487020880368914, 37, 108, 350, 297, 25149
1641487020882133594, 37, 108, 350, 297, 25149
1641487020883806046, 37, 108, 350, 297, 25149
1641487020885553801, 37, 108, 350, 297, 25149
1641487020887351922, 37, 108, 350, 297, 25149
1641487020889125403, 37, 108, 350, 297, 25149
1641487020890855905, 37, 108, 350, 297, 25149
1641487020892579995, 37, 108, 350, 297, 25149
1641487020894331697, 37, 108, 350, 297, 25149
1641487020896103998, 37, 108, 350, 297, 25149
1641487020897776847, 37, 108, 350, 297, 25149
1641487020899520359, 37, 108, 350, 297, 25149
1641487020901336133, 37, 108, 350, 297, 25149
1641487020903098704, 37, 108, 350, 297, 25149
1641487020904761825, 37, 108, 350, 297, 25149
1641487020906507661, 37, 108, 350, 297, 25149
1641487020908293719, 37, 108, 350, 297, 25149
1641487020910067885, 37, 108, 350, 297, 25149
1641487020911798661, 37, 108, 350, 297, 25149
1641487020913526107, 37, 108, 350, 297, 25149
1641487020915316944, 37, 108, 350, 297, 25149
1641487020917075875, 37, 108, 350, 297, 25149
1641487020918805454, 37, 108, 350, 297, 25149
1641487020920530250, 37, 108, 350, 297, 25149
1641487020922318173, 37, 108, 350, 297, 25149
1641487020924050556, 37, 108, 350, 297, 25149
1641487020925724178, 37, 108, 350, 297, 25149
1641487020927463197, 37, 108, 350, 297, 25149
1641487020929298185, 37, 108, 350, 297, 25149
1641487020930989777, 37, 108, 350, 297, 25149
1641487020932670822, 37, 108, 350, 297, 25149
1641487020934409865, 37, 108, 350, 297, 25149
1641487020936136481, 37, 108, 350, 297, 25149
1641487020937868304, 37, 108, 350, 297, 25149
1641487020939453846, 37, 108, 350, 297, 25149
1641487020941165385, 37, 108, 350, 297, 25149
1641487020942825074, 37, 108, 350, 297, 25149
1641487020944497118, 37, 108, 350, 297, 25149
1641487020946274871, 37, 108, 350, 297, 25149
1641487020948047816, 37, 108, 350, 297, 25149
1641487020949777067, 37, 108, 350, 297, 25149
1641487020951353614, 37, 108, 350, 297, 25149
