timestamp, temperature_gpu, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
1642433550349146467, 38, 115, 350,1695,9501,1695
1642433550353132179, 38, 115, 350,1695,9501,1695
1642433550355445806, 38, 115, 350,1695,9501,1695
1642433550357735742, 38, 115, 350,1695,9501,1695
1642433550360039635, 38, 115, 350,1695,9501,1695
1642433550362338218, 38, 115, 350,1695,9501,1695
1642433550364995683, 38, 115, 350,1695,9501,1695
1642433550369241121, 38, 115, 350,1695,9501,1695
1642433550373589852, 38, 115, 350,1695,9501,1695
1642433550376038591, 38, 115, 350,1695,9501,1695
1642433550378442731, 38, 115, 350,1695,9501,1695
1642433550380753054, 38, 115, 350,1695,9501,1695
1642433550383038399, 38, 115, 350,1695,9501,1695
1642433550385344274, 38, 115, 350,1695,9501,1695
1642433550389695178, 38, 115, 350,1695,9501,1695
1642433550393841224, 38, 115, 350,1695,9501,1695
1642433550397096709, 38, 115, 350,1695,9501,1695
1642433550399394288, 38, 115, 350,1695,9501,1695
1642433550401577100, 38, 115, 350,1695,9501,1695
1642433550403882600, 38, 115, 350,1695,9501,1695
1642433550406168046, 38, 115, 350,1695,9501,1695
1642433550409612809, 38, 115, 350,1695,9501,1695
1642433550413812773, 38, 115, 350,1695,9501,1695
1642433550417883107, 38, 115, 350,1695,9501,1695
1642433550420198476, 38, 115, 350,1695,9501,1695
1642433550422514988, 38, 115, 350,1695,9501,1695
1642433550425025702, 38, 115, 350,1695,9501,1695
1642433550427782050, 38, 115, 350,1695,9501,1695
1642433550431487954, 38, 115, 350,1695,9501,1695
1642433550436482543, 38, 115, 350,1695,9501,1695
1642433550440232706, 38, 115, 350,1695,9501,1695
1642433550442549479, 38, 115, 350,1695,9501,1695
1642433550444834085, 38, 115, 350,1695,9501,1695
1642433550447127893, 38, 115, 350,1695,9501,1695
1642433550449462516, 38, 115, 350,1695,9501,1695
1642433550453156165, 38, 115, 350,1695,9501,1695
1642433550457413322, 38, 115, 350,1695,9501,1695
1642433550460970329, 38, 115, 350,1695,9501,1695
1642433550463276035, 38, 115, 350,1695,9501,1695
1642433550465581866, 38, 115, 350,1695,9501,1695
1642433550467870548, 38, 115, 350,1695,9501,1695
1642433550470158978, 38, 115, 350,1695,9501,1695
1642433550473165848, 38, 115, 350,1695,9501,1695
1642433550477400404, 38, 115, 350,1695,9501,1695
1642433550481188688, 38, 115, 350,1695,9501,1695
1642433550483627073, 38, 115, 350,1695,9501,1695
1642433550485938449, 38, 115, 350,1695,9501,1695
1642433550488238762, 38, 115, 350,1695,9501,1695
1642433550490543329, 38, 115, 350,1695,9501,1695
1642433550492863357, 38, 115, 350,1695,9501,1695
1642433550496923895, 38, 115, 350,1695,9501,1695
1642433550501326337, 38, 115, 350,1695,9501,1695
1642433550504320604, 38, 115, 350,1695,9501,1695
1642433550506629610, 38, 115, 350,1695,9501,1695
1642433550508958093, 38, 115, 350,1695,9501,1695
1642433550511242074, 38, 115, 350,1695,9501,1695
1642433550513552883, 38, 115, 350,1695,9501,1695
1642433550517356690, 38, 115, 350,1695,9501,1695
1642433550521553572, 38, 115, 350,1695,9501,1695
1642433550525468841, 38, 115, 350,1695,9501,1695
1642433550527764266, 38, 115, 350,1695,9501,1695
1642433550530065134, 38, 115, 350,1695,9501,1695
1642433550532628744, 38, 115, 350,1695,9501,1695
1642433550535376765, 38, 115, 350,1695,9501,1695
1642433550539546457, 38, 115, 350,1695,9501,1695
1642433550544092881, 38, 115, 350,1695,9501,1695
1642433550547023337, 38, 115, 350,1695,9501,1695
1642433550549341777, 38, 115, 350,1695,9501,1695
1642433550551658256, 38, 115, 350,1695,9501,1695
1642433550553950519, 38, 115, 350,1695,9501,1695
1642433550556265603, 38, 115, 350,1695,9501,1695
1642433550559753508, 38, 115, 350,1695,9501,1695
1642433550564035033, 38, 115, 350,1695,9501,1695
1642433550567527513, 38, 115, 350,1695,9501,1695
1642433550570005066, 38, 115, 350,1695,9501,1695
1642433550572326048, 38, 115, 350,1695,9501,1695
1642433550574635813, 38, 115, 350,1695,9501,1695
1642433550576952749, 38, 115, 350,1695,9501,1695
1642433550579736966, 38, 115, 350,1695,9501,1695
1642433550583966205, 38, 115, 350,1695,9501,1695
1642433550587962817, 38, 115, 350,1695,9501,1695
1642433550590379105, 38, 115, 350,1695,9501,1695
1642433550592792441, 38, 115, 350,1695,9501,1695
1642433550595118035, 38, 115, 350,1695,9501,1695
1642433550597585964, 38, 115, 350,1695,9501,1695
1642433550599893587, 38, 115, 350,1695,9501,1695
1642433550604056932, 38, 115, 350,1695,9501,1695
1642433550608308303, 38, 115, 350,1695,9501,1695
1642433550611526119, 38, 115, 350,1695,9501,1695
1642433550613844611, 38, 115, 350,1695,9501,1695
1642433550616153505, 38, 115, 350,1695,9501,1695
1642433550618466925, 38, 115, 350,1695,9501,1695
1642433550620780721, 38, 115, 350,1695,9501,1695
1642433550624362833, 38, 115, 350,1695,9501,1695
1642433550628539031, 38, 115, 350,1695,9501,1695
1642433550632147031, 38, 115, 350,1695,9501,1695
1642433550634485916, 38, 115, 350,1695,9501,1695
1642433550636795711, 38, 115, 350,1695,9501,1695
1642433550639261300, 38, 115, 350,1695,9501,1695
1642433550641748448, 38, 115, 350,1695,9501,1695
1642433550644853938, 38, 114, 350,1695,9501,1695
1642433550649633922, 38, 114, 350,1695,9501,1695
1642433550653986506, 38, 114, 350,1695,9501,1695
1642433550656365034, 38, 114, 350,1695,9501,1695
1642433550658708805, 38, 114, 350,1695,9501,1695
1642433550661023999, 38, 114, 350,1695,9501,1695
1642433550663341619, 38, 114, 350,1695,9501,1695
1642433550667017934, 38, 114, 350,1695,9501,1695
1642433550671225003, 38, 114, 350,1695,9501,1695
1642433550675307162, 38, 114, 350,1695,9501,1695
1642433550677635647, 38, 114, 350,1695,9501,1695
1642433550679950910, 38, 114, 350,1695,9501,1695
1642433550682264753, 38, 114, 350,1695,9501,1695
1642433550684575549, 38, 114, 350,1695,9501,1695
1642433550687487862, 38, 114, 350,1695,9501,1695
1642433550691627691, 38, 114, 350,1695,9501,1695
1642433550695659685, 38, 114, 350,1695,9501,1695
1642433550698059508, 38, 114, 350,1695,9501,1695
1642433550700517266, 38, 114, 350,1695,9501,1695
1642433550702834481, 38, 114, 350,1695,9501,1695
1642433550705155420, 38, 114, 350,1695,9501,1695
1642433550707504885, 38, 114, 350,1695,9501,1695
1642433550711752441, 38, 114, 350,1695,9501,1695
1642433550715975067, 38, 114, 350,1695,9501,1695
1642433550719353368, 38, 114, 350,1695,9501,1695
1642433550722151566, 38, 114, 350,1695,9501,1695
1642433550724491124, 38, 114, 350,1695,9501,1695
1642433550726819868, 38, 114, 350,1695,9501,1695
1642433550729136781, 38, 114, 350,1695,9501,1695
1642433550733419582, 38, 114, 350,1695,9501,1695
1642433550737554486, 38, 114, 350,1695,9501,1695
1642433550739996688, 38, 114, 350,1695,9501,1695
1642433550742311770, 38, 114, 350,1695,9501,1695
1642433550744618216, 38, 114, 350,1695,9501,1695
1642433550747100129, 38, 114, 350,1695,9501,1695
1642433550749860562, 38, 114, 350,1695,9501,1695
1642433550753631027, 38, 114, 350,1695,9501,1695
1642433550758056316, 38, 114, 350,1695,9501,1695
1642433550761883136, 38, 114, 350,1695,9501,1695
1642433550764216319, 38, 114, 350,1695,9501,1695
1642433550766527849, 38, 114, 350,1695,9501,1695
1642433550768835965, 38, 114, 350,1695,9501,1695
1642433550771136511, 38, 114, 350,1695,9501,1695
1642433550774908515, 38, 114, 350,1695,9501,1695
1642433550779165428, 38, 114, 350,1695,9501,1695
1642433550782570562, 38, 114, 350,1695,9501,1695
1642433550784872217, 38, 114, 350,1695,9501,1695
1642433550787174662, 38, 114, 350,1695,9501,1695
1642433550789517384, 38, 114, 350,1695,9501,1695
1642433550791838135, 38, 114, 350,1695,9501,1695
1642433550794788255, 38, 114, 350,1695,9501,1695
1642433550799018661, 38, 114, 350,1695,9501,1695
1642433550802909411, 38, 114, 350,1695,9501,1695
1642433550805340031, 38, 114, 350,1695,9501,1695
1642433550807722711, 38, 114, 350,1695,9501,1695
1642433550810021491, 38, 114, 350,1695,9501,1695
1642433550812349080, 38, 114, 350,1695,9501,1695
1642433550814651886, 38, 114, 350,1695,9501,1695
1642433550818738647, 38, 114, 350,1695,9501,1695
1642433550822979812, 38, 114, 350,1695,9501,1695
1642433550826156666, 38, 114, 350,1695,9501,1695
1642433550828488944, 38, 114, 350,1695,9501,1695
1642433550830804372, 38, 114, 350,1695,9501,1695
1642433550833122255, 38, 114, 350,1695,9501,1695
1642433550835476097, 38, 114, 350,1695,9501,1695
1642433550839152901, 38, 114, 350,1695,9501,1695
1642433550843307186, 38, 114, 350,1695,9501,1695
1642433550846829029, 38, 114, 350,1695,9501,1695
1642433550849148514, 38, 114, 350,1695,9501,1695
1642433550851488712, 38, 114, 350,1695,9501,1695
1642433550853950250, 38, 114, 350,1695,9501,1695
1642433550856457122, 38, 114, 350,1695,9501,1695
1642433550859594978, 38, 114, 350,1695,9501,1695
1642433550864630762, 38, 114, 350,1695,9501,1695
1642433550868999736, 38, 114, 350,1695,9501,1695
1642433550871359646, 38, 114, 350,1695,9501,1695
1642433550873704901, 38, 114, 350,1695,9501,1695
