timestep, temperature_gpu, type, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
396, 37, shfl_nested, 114, 350,1695,9501,1695
397, 37, shfl_nested, 114, 350,1695,9501,1695
398, 37, shfl_nested, 114, 350,1695,9501,1695
399, 37, shfl_nested, 114, 350,1695,9501,1695
400, 37, shfl_nested, 114, 350,1695,9501,1695
401, 37, shfl_nested, 114, 350,1695,9501,1695
402, 37, shfl_nested, 114, 350,1695,9501,1695
403, 37, shfl_nested, 114, 350,1695,9501,1695
404, 37, shfl_nested, 114, 350,1695,9501,1695
405, 37, shfl_nested, 114, 350,1695,9501,1695
406, 37, shfl_nested, 114, 350,1695,9501,1695
407, 37, shfl_nested, 114, 350,1695,9501,1695
408, 37, shfl_nested, 114, 350,1695,9501,1695
409, 37, shfl_nested, 114, 350,1695,9501,1695
410, 37, shfl_nested, 114, 350,1695,9501,1695
411, 37, shfl_nested, 114, 350,1695,9501,1695
412, 37, shfl_nested, 114, 350,1695,9501,1695
413, 37, shfl_nested, 114, 350,1695,9501,1695
414, 37, shfl_nested, 114, 350,1695,9501,1695
415, 37, shfl_nested, 114, 350,1695,9501,1695
416, 37, shfl_nested, 114, 350,1695,9501,1695
417, 37, shfl_nested, 114, 350,1695,9501,1695
418, 37, shfl_nested, 114, 350,1695,9501,1695
419, 37, shfl_nested, 114, 350,1695,9501,1695
420, 37, shfl_nested, 114, 350,1695,9501,1695
421, 37, shfl_nested, 114, 350,1695,9501,1695
422, 37, shfl_nested, 114, 350,1695,9501,1695
423, 37, shfl_nested, 114, 350,1695,9501,1695
424, 37, shfl_nested, 114, 350,1695,9501,1695
425, 37, shfl_nested, 114, 350,1695,9501,1695
426, 37, shfl_nested, 114, 350,1695,9501,1695
427, 37, shfl_nested, 114, 350,1695,9501,1695
428, 37, shfl_nested, 114, 350,1695,9501,1695
429, 37, shfl_nested, 114, 350,1695,9501,1695
430, 37, shfl_nested, 114, 350,1695,9501,1695
431, 37, shfl_nested, 114, 350,1695,9501,1695
432, 37, shfl_nested, 114, 350,1695,9501,1695
433, 37, shfl_nested, 114, 350,1695,9501,1695
434, 37, shfl_nested, 114, 350,1695,9501,1695
435, 37, shfl_nested, 114, 350,1695,9501,1695
436, 37, shfl_nested, 114, 350,1695,9501,1695
437, 37, shfl_nested, 114, 350,1695,9501,1695
438, 37, shfl_nested, 114, 350,1695,9501,1695
439, 37, shfl_nested, 114, 350,1695,9501,1695
440, 37, shfl_nested, 114, 350,1695,9501,1695
441, 37, shfl_nested, 114, 350,1695,9501,1695
442, 37, shfl_nested, 114, 350,1695,9501,1695
443, 37, shfl_nested, 114, 350,1695,9501,1695
444, 37, shfl_nested, 114, 350,1695,9501,1695
445, 37, shfl_nested, 114, 350,1695,9501,1695
446, 37, shfl_nested, 114, 350,1695,9501,1695
447, 37, shfl_nested, 114, 350,1695,9501,1695
448, 37, shfl_nested, 114, 350,1695,9501,1695
449, 37, shfl_nested, 114, 350,1695,9501,1695
450, 37, shfl_nested, 114, 350,1695,9501,1695
451, 37, shfl_nested, 114, 350,1695,9501,1695
452, 37, shfl_nested, 114, 350,1695,9501,1695
453, 37, shfl_nested, 114, 350,1695,9501,1695
454, 37, shfl_nested, 114, 350,1695,9501,1695
455, 37, shfl_nested, 114, 350,1695,9501,1695
456, 37, shfl_nested, 114, 350,1695,9501,1695
457, 37, shfl_nested, 114, 350,1695,9501,1695
458, 37, shfl_nested, 114, 350,1695,9501,1695
459, 37, shfl_nested, 114, 350,1695,9501,1695
460, 37, shfl_nested, 114, 350,1695,9501,1695
461, 37, shfl_nested, 114, 350,1695,9501,1695
462, 37, shfl_nested, 114, 350,1695,9501,1695
463, 37, shfl_nested, 114, 350,1695,9501,1695
464, 37, shfl_nested, 114, 350,1695,9501,1695
465, 37, shfl_nested, 114, 350,1695,9501,1695
466, 37, shfl_nested, 114, 350,1695,9501,1695
467, 37, shfl_nested, 114, 350,1695,9501,1695
468, 37, shfl_nested, 114, 350,1695,9501,1695
469, 37, shfl_nested, 114, 350,1695,9501,1695
470, 37, shfl_nested, 114, 350,1695,9501,1695
471, 37, shfl_nested, 114, 350,1695,9501,1695
472, 37, shfl_nested, 114, 350,1695,9501,1695
473, 37, shfl_nested, 114, 350,1695,9501,1695
474, 37, shfl_nested, 114, 350,1695,9501,1695
475, 37, shfl_nested, 114, 350,1695,9501,1695
476, 37, shfl_nested, 114, 350,1695,9501,1695
477, 37, shfl_nested, 114, 350,1695,9501,1695
478, 37, shfl_nested, 114, 350,1695,9501,1695
479, 37, shfl_nested, 114, 350,1695,9501,1695
480, 37, shfl_nested, 114, 350,1695,9501,1695
481, 37, shfl_nested, 114, 350,1695,9501,1695
482, 37, shfl_nested, 114, 350,1695,9501,1695
483, 37, shfl_nested, 114, 350,1695,9501,1695
484, 37, shfl_nested, 114, 350,1695,9501,1695
485, 37, shfl_nested, 114, 350,1695,9501,1695
486, 37, shfl_nested, 114, 350,1695,9501,1695
487, 37, shfl_nested, 114, 350,1695,9501,1695
488, 37, shfl_nested, 114, 350,1695,9501,1695
489, 37, shfl_nested, 114, 350,1695,9501,1695
490, 37, shfl_nested, 114, 350,1695,9501,1695
491, 37, shfl_nested, 114, 350,1695,9501,1695
492, 37, shfl_nested, 114, 350,1695,9501,1695
493, 37, shfl_nested, 114, 350,1695,9501,1695
494, 37, shfl_nested, 114, 350,1695,9501,1695
495, 37, shfl_nested, 114, 350,1695,9501,1695
496, 37, shfl_nested, 114, 350,1695,9501,1695
497, 37, shfl_nested, 114, 350,1695,9501,1695
498, 37, shfl_nested, 114, 350,1695,9501,1695
499, 37, shfl_nested, 114, 350,1695,9501,1695
500, 37, shfl_nested, 114, 350,1695,9501,1695
501, 37, shfl_nested, 114, 350,1695,9501,1695
502, 37, shfl_nested, 114, 350,1695,9501,1695
503, 37, shfl_nested, 114, 350,1695,9501,1695
504, 37, shfl_nested, 114, 350,1695,9501,1695
505, 37, shfl_nested, 114, 350,1695,9501,1695
